dimension,module,severity,violation_type,count,description
Determinism,meta,CRITICAL,UNSEEDED_RANDOM,14,"random.choice/random.random calls without SeedManager derivation"
Determinism,backtest,WARNING,UNSEEDED_RANDOM,1,"np.random usage in tearsheet demo data"
Determinism,ml,WARNING,UNSEEDED_RANDOM,1,"np.random.choice in online_learning buffer sampling"
Determinism,execution,CRITICAL,UNCONTROLLED_ENTROPY,38,"Uncontrolled entropy sources per entropy_report"
Determinism,hft,CRITICAL,UNCONTROLLED_ENTROPY,42,"Uncontrolled entropy sources per entropy_report"
Determinism,portfolio,CRITICAL,UNCONTROLLED_ENTROPY,31,"Uncontrolled entropy sources per entropy_report"
Determinism,risk,CRITICAL,UNCONTROLLED_ENTROPY,29,"Uncontrolled entropy sources per entropy_report"
Determinism,certification,CRITICAL,UNCONTROLLED_ENTROPY,48,"Uncontrolled entropy sources per entropy_report"
Determinism,compliance,CRITICAL,UNCONTROLLED_ENTROPY,50,"Uncontrolled entropy sources per entropy_report"
Failure,core,CRITICAL,SILENT_FAILURE,19,"Silent exception handling via broad except/pass"
Failure,execution,CRITICAL,SILENT_FAILURE,22,"Exception swallowing in adapter/router patterns"
Failure,governance,CRITICAL,SILENT_FAILURE,15,"Unstructured error handling"
Failure,hft,CRITICAL,SILENT_FAILURE,18,"Silent failures in latency-critical paths"
Failure,oms,CRITICAL,SILENT_FAILURE,21,"Exception ignored in order management"
Failure,risk,CRITICAL,SILENT_FAILURE,14,"Silent failures in risk enforcement"
Failure,research,WARNING,BROAD_EXCEPT,4,"Generic Exception handlers in session.py"
Failure,tca,WARNING,BROAD_EXCEPT,4,"Generic Exception handlers in TCA modules"
Failure,pipeline,WARNING,BROAD_EXCEPT,2,"Bare pass in exception handlers"
Config,certification,CRITICAL,HARDCODE,97,"Magic numbers in certification logic"
Config,compliance,CRITICAL,HARDCODE,85,"Hardcoded thresholds in compliance checks"
Config,core,CRITICAL,HARDCODE,72,"Hardcoded values in core infrastructure"
Config,execution,CRITICAL,HARDCODE,91,"Magic numbers in execution paths"
Config,governance,CRITICAL,HARDCODE,63,"Hardcoded governance parameters"
Config,hft,CRITICAL,HARDCODE,88,"Hardcoded HFT optimization constants"
Config,meta,CRITICAL,HARDCODE,45,"Hardcoded mutation rates and parameters"
Config,oms,CRITICAL,HARDCODE,51,"Hardcoded order management thresholds"
Config,portfolio,CRITICAL,HARDCODE,38,"Hardcoded allocation constraints"
Config,risk,CRITICAL,HARDCODE,19,"Hardcoded risk limits"
Precision,execution,CRITICAL,FLOAT_ARITHMETIC,112,"Float in financial calculations (price/qty/notional)"
Precision,oms,CRITICAL,FLOAT_ARITHMETIC,98,"Float quantities and prices in order flow"
Precision,portfolio,CRITICAL,FLOAT_ARITHMETIC,87,"Float in allocation weights and NAV"
Precision,risk,CRITICAL,FLOAT_ARITHMETIC,76,"Float in risk metrics (VaR/drawdown)"
Precision,certification,WARNING,FLOAT_USAGE,95,"Float in non-critical paths"
Precision,compliance,WARNING,FLOAT_USAGE,89,"Float in compliance thresholds"
Precision,governance,WARNING,FLOAT_USAGE,82,"Float in governance metrics"
Precision,meta,WARNING,FLOAT_USAGE,146,"Float in genetic/evolution algorithms"
Async,data/market/coinbase_market,CRITICAL,TIME_SLEEP,2,"time.sleep(0.15) and time.sleep(1.0) in production code"
Async,execution/retry_handler,WARNING,ASYNCIO_SLEEP,1,"asyncio.sleep in retry backoff"
Async,execution/reconciliation_engine,WARNING,ASYNCIO_SLEEP,1,"asyncio.sleep(0.1) in reconciliation"
Async,data/market/snapshot_recovery,WARNING,ASYNCIO_SLEEP,1,"asyncio.sleep(0.02) simulated latency"
Async,data/market/clock_sync,WARNING,ASYNCIO_SLEEP,2,"asyncio.sleep in sync loop"
Async,core/timer,WARNING,ASYNCIO_SLEEP,2,"asyncio.sleep in timer coordination"
Observability,global,CRITICAL,LOW_COVERAGE,385,"385 of 427 Python files lack structured logging"
Observability,global,WARNING,PRINT_STATEMENT,3,"print() calls instead of structured logging"
Observability,global,WARNING,NO_TRACE_INTEGRATION,393,"393 modules lack TraceManager integration"
